iso3,year,grupo,pct_si,n
PAN,2015,blanco,7.1,198
PAN,2015,indigena,35.2,88
PAN,2015,mestizo,11.0,445
PAN,2015,otros,20.0,10
PER,2015,afro,11.4,35
PER,2015,blanco,14.9,74
PER,2015,indigena,40.5,79
PER,2015,mestizo,17.6,820
PER,2015,otros,25.0,24
PRY,2015,afro,23.9,42
PRY,2015,blanco,13.8,209
PRY,2015,indigena,8.3,16
PRY,2015,mestizo,18.1,606
PRY,2015,otros,22.7,37
SLV,2015,afro,10.4,77
SLV,2015,blanco,11.2,87
SLV,2015,indigena,23.2,69
SLV,2015,mestizo,10.9,457
SLV,2015,otros,23.2,9
URY,2015,afro,25.0,52
URY,2015,blanco,10.0,921
URY,2015,indigena,31.6,19
URY,2015,mestizo,11.3,124
URY,2015,otros,20.0,10
VEN,2015,afro,15.4,130
VEN,2015,blanco,19.9,392
VEN,2015,indigena,20.0,20
VEN,2015,mestizo,16.0,601
VEN,2015,otros,11.4,35
ARG,2020,afro,45.7,10
ARG,2020,blanco,31.9,567
ARG,2020,indigena,45.6,11
ARG,2020,mestizo,34.7,207
ARG,2020,otros,28.5,21
BOL,2020,afro,34.6,26
BOL,2020,blanco,35.5,31
BOL,2020,indigena,49.4,259
BOL,2020,mestizo,28.5,565
BOL,2020,otros,34.0,47
BRA,2020,afro,53.4,425
BRA,2020,blanco,29.6,415
BRA,2020,indigena,42.9,35
BRA,2020,mestizo,42.6,155
BRA,2020,otros,36.0,75
CHL,2020,afro,25.2,19
CHL,2020,blanco,27.0,651
CHL,2020,indigena,67.3,83
CHL,2020,mestizo,44.2,247
CHL,2020,otros,42.4,12
COL,2020,afro,22.6,148
COL,2020,blanco,13.9,224
COL,2020,indigena,19.4,102
COL,2020,mestizo,15.2,530
COL,2020,otros,6.6,30
CRI,2020,afro,15.7,172
CRI,2020,blanco,15.8,323
CRI,2020,indigena,21.3,61
CRI,2020,mestizo,29.0,262
CRI,2020,otros,22.2,27
DOM,2020,afro,18.5,401
DOM,2020,blanco,16.4,152
DOM,2020,indigena,11.8,110
DOM,2020,mestizo,12.1,223
DOM,2020,otros,9.5,21
ECU,2020,afro,21.7,69
ECU,2020,blanco,20.5,39
ECU,2020,indigena,25.6,86
ECU,2020,mestizo,17.8,910
ECU,2020,otros,22.6,31
GTM,2020,afro,42.9,7
GTM,2020,blanco,12.5,32
GTM,2020,indigena,30.7,362
GTM,2020,mestizo,19.8,338
GTM,2020,otros,0.0,10
HND,2020,afro,11.0,76
HND,2020,blanco,9.6,156
HND,2020,indigena,24.4,125
HND,2020,mestizo,14.5,356
HND,2020,otros,14.4,73
MEX,2020,afro,26.8,21
MEX,2020,blanco,15.4,87
MEX,2020,indigena,14.4,174
MEX,2020,mestizo,16.6,604
MEX,2020,otros,6.2,22
NIC,2020,afro,17.1,71
NIC,2020,blanco,14.4,94
NIC,2020,indigena,22.0,92
NIC,2020,mestizo,13.0,460
NIC,2020,otros,21.1,18
PAN,2020,afro,23.0,200
PAN,2020,blanco,13.5,133
PAN,2020,indigena,35.8,193
PAN,2020,mestizo,14.0,358
PAN,2020,otros,33.3,21
PER,2020,afro,18.0,61
PER,2020,blanco,13.0,100
PER,2020,indigena,40.9,93
PER,2020,mestizo,23.6,785
PER,2020,otros,29.4,34
PRY,2020,afro,23.1,13
PRY,2020,blanco,21.0,162
PRY,2020,indigena,18.8,16
PRY,2020,mestizo,19.2,786
PRY,2020,otros,34.7,72
SLV,2020,afro,8.8,57
SLV,2020,blanco,17.6,102
SLV,2020,indigena,20.7,116
SLV,2020,mestizo,14.2,388
SLV,2020,otros,10.0,10
URY,2020,afro,16.1,137
URY,2020,blanco,11.7,729
URY,2020,indigena,22.4,49
URY,2020,mestizo,19.9,166
URY,2020,otros,10.7,28
VEN,2020,afro,18.5,221
VEN,2020,blanco,19.8,281
VEN,2020,indigena,15.7,68
VEN,2020,mestizo,22.8,527
VEN,2020,otros,21.5,17
