iso3,cod,grupo,pct,n
GTM,23,Mujeres,5.0,37
GTM,96,Otros,4.2,31
GTM,24,Viejos,3.1,23
GTM,20,Homosexuales,2.7,20
GTM,18,Discapacitados,1.7,13
GTM,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,1.6,12
GTM,22,Personas con tatuajes,1.5,11
GTM,34,Campesinos/ personas que trabajan el campo,0.9,7
GTM,1,Negros o afrodescendientes,0.8,6
GTM,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.7,5
GTM,11,Inmigrantes (en general),0.5,4
GTM,5,Mestizos,0.4,3
GTM,21,Drogadictos,0.4,3
GTM,26,Analfabetos / sin educación,0.4,3
GTM,39,Personas discriminadas por su raza (sin especificar),0.4,3
GTM,28,"Pertenecen a algún partido político (comunista, socialista etc)",0.3,2
GTM,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.3,2
GTM,6,Asiáticos (Chinos/ japoneses),0.1,1
GTM,25,Jóvenes,0.1,1
GTM,35,Personas que viven en provincias o zonas rurales,0.1,1
GTM,40,Médicos o trabajadores de la salud,0.1,1
HND,10,Pobres,26.7,202
HND,97,Ninguna (no hay personas o grupos de personas discriminadas),15.1,117
HND,36,Personas que se dedican a la delincuencia/ pertenecen a una banda delictiva,10.5,80
HND,20,Homosexuales,10.0,84
HND,96,Otros,8.0,61
HND,2,Indígenas,6.2,49
HND,1,Negros o afrodescendientes,5.9,46
HND,28,"Pertenecen a algún partido político (comunista, socialista etc)",5.4,41
HND,23,Mujeres,2.5,19
HND,24,Viejos,1.7,17
HND,33,Personas en situación de calle/ indigentes,1.3,10
HND,18,Discapacitados,1.1,9
HND,25,Jóvenes,0.9,6
HND,34,Campesinos/ personas que trabajan el campo,0.9,6
HND,31,Personas discriminadas por ideología (grupos que tienen una ideología distinta,0.8,7
HND,21,Drogadictos,0.7,5
HND,4,Mulatos,0.6,4
HND,26,Analfabetos / sin educación,0.4,4
HND,11,Inmigrantes (en general),0.3,3
HND,27,"Pertenecen a grupos religiosos (evangélicos, mormones, pentecoscales)",0.3,2
HND,37,Personas que pertenecen a grupos armados,0.3,2
HND,29,Pertenecen a movimientos o grupos de interés (sindicatos),0.2,1
HND,30,Pertenecen a grupos feministas,0.2,1
