"id","name","date_of_birth","national_team","country_iso3","birth_country","birth_country_iso3","birthplace_city","match_addr","lon","lat","position","club","club_competition","is_active"
"392757","Marc GuÃ©hi","2000-07-13","England","ENG","CÃ´te d'Ivoire","CIV","Abidjan","Abidjan, Cote d'Ivoire","-4,016107","5,320357","Centre-Back","Manchester City","Premier League","True"
"398048","MÃ¡rcio Rosa","1997-02-23","Cabo Verde","CPV","Cabo Verde","CPV","Praia","Praia, Cape Verde","-23,5095095","14,9162811","Goalkeeper","PFC Montana","efbet Liga","True"
"156990","Marco Friedl","1998-03-16","Austria","AUT","Austria","AUT","Kirchbichl","Kirchbichl, Austria","12,0859208","47,5111617","Centre-Back","SV Werder Bremen","Bundesliga","True"
"395928","Marco PaÅ¡aliÄ","2000-09-14","Croatia","HRV","Germany","DEU","Karlsruhe","Karlsruhe, Germany","8,4034195","49,0068705","Right Winger","Orlando City SC","MLS","True"
"282411","Marcos Llorente","1995-01-30","Spain","ESP","Spain","ESP","Madrid","Madrid, Spain","-3,703507","40,416782","Right-Back","AtlÃ©tico Madrid","LaLiga","True"
"844637","Marc Pubill","2003-06-20","Spain","ESP","Spain","ESP","Terrassa","Terrassa, Spain","2,0100492","41,5629623","Centre-Back","AtlÃ©tico Madrid","LaLiga","True"
"583404","Marcus Pedersen","2000-07-16","Norway","NOR","Norway","NOR","Hammerfest","Hammerfest, Norway","23,8360801","70,6413392","Right-Back","FC Turin","Serie A","True"
"258923","Marcus Rashford","1997-10-31","England","ENG","England","ENG","Manchester","Manchester, England","-2,2324547","53,4424618","Left Winger","FC Barcelona","LaLiga","True"
"318528","Marcus Thuram","1997-08-06","France","FRA","Italy","ITA","Parma","Parma, Italy","10,0979869","44,6952006","Centre-Forward","Inter Mailand","Serie A","True"
"282144","Marin Pongracic","1997-09-11","Croatia","HRV","Germany","DEU","Landshut","Landshut, Germany","12,1516551","48,536217","Centre-Back","AC Florenz","Serie A","True"
"205938","Mario PaÅ¡aliÄ","1995-02-09","Croatia","HRV","Germany","DEU","Mainz","Mainz, Germany","8,2736253","49,9995205","Central Midfield","Atalanta Bergamo","Serie A","True"
"125714","Mark Flekken","1993-06-13","Netherlands","NLD","Netherlands","NLD","Bocholtz","Bocholtz, Netherlands","6,0065275","50,8184796","Goalkeeper","Bayer 04 Leverkusen","Bundesliga","True"
"429259","Mark McKenzie","1999-02-25","United States of America","USA","United States of America","USA","New York City, New ...","New York City, New ..., United States","-74,0060152","40,7127281","Centre-Back","FC Toulouse","Ligue 1","True"
"41384","Marko Arnautovic","1989-04-19","Austria","AUT","Austria","AUT","Wien","Wien, Austria","16,3725042","48,2083537","Centre-Forward","Roter Stern Belgrad","Super liga Srbije","True"
"663153","Marko Farji","2004-03-16","Iraq","IRQ","Norway","NOR","Grimstad","Grimstad, Norway","8,7128291","58,2839967","Left Winger","Venezia FC","Serie B","True"
"617018","Marko StameniÄ","2002-02-19","New Zealand","NZL","New Zealand","NZL","Wellington","Wellington, New Zealand","174,7772114","-41,2887953","Central Midfield","Swansea City","Championship","True"
"181767","Marquinhos","1994-05-14","Brazil","BRA","Brazil","BRA","SÃ£o Paulo","SÃ£o Paulo, Brazil","-46,6333824","-23,5506507","Centre-Back","FC Paris Saint-Germain","Ligue 1","True"
