id,name,rank,ocupacion,lugar,lon,lat,fuente,iso3,iso3_geometria,pais,region
2813368,Olga Kameneva,47217,POLITICIAN,Bereslavka,,,pais del lugar (Wikidata),UKR,UKR,Ukraine,Europa del Este/Asia Central
3236210,Artavasdes I of Armenia,47239,POLITICIAN,,,,sin dato en Wikidata,,,,
2407290,"Robert I, Count of Dreux",47284,NOBLEMAN,Francia,,,ciudadania (Wikidata),FRA,FRA,France,Europa Occidental
4561922,David Di Michele,47305,SOCCER PLAYER,Guidonia Montecelio,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
19304086,Makharbek Khadartsev,47374,WRESTLER,Suadag,,,pais del lugar (Wikidata),RUS,RUS,Russia,Europa del Este/Asia Central
2054826,Gavril Radomir of Bulgaria,47375,POLITICIAN,Primer Imperio búlgaro,27.11666667,43.36666667,coordenada Wikidata,BGR,BGR,Bulgaria,Europa del Este/Asia Central
876690,Claudia Augusta,47389,RELIGIOUS FIGURE,Antium,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
7881482,Djedkare Shemai,47419,POLITICIAN,,,,sin dato en Wikidata,,,,
4084768,Aram Shah,47427,POLITICIAN,,,,sin dato en Wikidata,,,,
4199545,Muqan Qaghan,47429,POLITICIAN,,,,sin dato en Wikidata,,,,
71433364,Galab Donev,47436,POLITICIAN,Sofía,,,pais del lugar (Wikidata),BGR,BGR,Bulgaria,Europa del Este/Asia Central
3406158,"Pepin, Count of Vermandois",47502,POLITICIAN,,,,sin dato en Wikidata,,,,
8980167,Xiao Yi of Shang,47503,POLITICIAN,,,,sin dato en Wikidata,,,,
3251071,Sobekemsaf II,47530,RELIGIOUS FIGURE,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
758296,Mahmud II,47542,POLITICIAN,,,,sin dato en Wikidata,,,,
6873169,Zeno Colò,47557,SKIER,Abetone,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
360629,"Arnulf II, Count of Flanders",47566,POLITICIAN,,,,sin dato en Wikidata,,,,
2493160,Sabellius,47597,RELIGIOUS FIGURE,Libia,,,ciudadania (Wikidata),LBY,LBY,Libya,Medio Oriente/N. Africa
1818706,"Ramón Cabrera, 1st Duke of Maestrazgo",47600,NOBLEMAN,España,,,ciudadania (Wikidata),ESP,ESP,Spain,Europa Occidental
1158040,Pingala,47609,MATHEMATICIAN,India,,,ciudadania (Wikidata),IND,IND,India,Asia del Sur
3323431,Epaphroditus,47630,RELIGIOUS FIGURE,,,,sin dato en Wikidata,,,,
5548501,"Albert II, Duke of Bavaria",47674,POLITICIAN,Baviera-Straubing,,,pais del lugar (Wikidata),DEU,DEU,Germany,Europa Occidental
1845031,"Agnes of France, Byzantine Empress",47720,POLITICIAN,Francia,,,pais del lugar (Wikidata),FRA,FRA,France,Europa Occidental
440604,Emperor Gong of Jin,47721,POLITICIAN,,,,sin dato en Wikidata,,,,
2534667,Miquel Barceló,47767,PAINTER,Felanich,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
4422455,Hannibalianus,47783,POLITICIAN,,,,sin dato en Wikidata,,,,
6109077,Christian Riganò,47785,SOCCER PLAYER,Lipari,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
18702948,Thaïs,47786,RELIGIOUS FIGURE,,,,sin dato en Wikidata,,,,
1643212,Giorgio Ghezzi,47813,SOCCER PLAYER,Cesenatico,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
1175535,Jaunutis,47820,POLITICIAN,,,,sin dato en Wikidata,,,,
21377531,Gala,47833,POLITICIAN,,,,sin dato en Wikidata,,,,
19294426,Hubert Lanz,47835,MILITARY PERSONNEL,Entringen,,,pais del lugar (Wikidata),DEU,DEU,Germany,Europa Occidental
350588,Eurybiades,47903,POLITICIAN,Esparta,,,ciudadania (Wikidata),GRC,GRC,Greece,Europa Occidental
7393320,Emiliano Mondonico,47990,SOCCER PLAYER,Rivolta d'Adda,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
2714445,Sekhemkare,47995,POLITICIAN,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
9616484,Kocel,48002,POLITICIAN,,,,sin dato en Wikidata,,,,
4353374,Hantili I,48015,POLITICIAN,,,,sin dato en Wikidata,,,,
1887547,Robert de Craon,48023,POLITICIAN,,,,sin dato en Wikidata,,,,
730136,Marcus Antonius Creticus,48037,POLITICIAN,,,,sin dato en Wikidata,,,,
20867076,Amanitore,48042,POLITICIAN,,,,sin dato en Wikidata,,,,
1904146,Abel Matutes,48045,POLITICIAN,Ibiza,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
6855707,Sheshi,48046,NOBLEMAN,Antiguo Egipto,,,pais del lugar (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
8612904,Tigranes IV,48047,POLITICIAN,,,,sin dato en Wikidata,,,,
5585231,David III of Tao,48065,POLITICIAN,,,,sin dato en Wikidata,,,,
2988144,Eduard von Keyserling,48095,WRITER,Kalvene Parish,,,pais del lugar (Wikidata),LVA,LVA,Latvia,Europa del Este/Asia Central
168375,Seleucus V Philometor,48129,POLITICIAN,,,,sin dato en Wikidata,,,,
1672625,Lucius Vitellius the Elder,48206,POLITICIAN,Nuceria Alfaterna,,,pais del lugar (Wikidata),ITA,ITA,Italy,Europa Occidental
1813654,Yekuno Amlak,48212,POLITICIAN,,,,sin dato en Wikidata,,,,
4742873,"Henry V, Duke of Bavaria",48235,POLITICIAN,Alemania,,,ciudadania (Wikidata),DEU,DEU,Germany,Europa Occidental
461248,Publius Cornelius Lentulus Sura,48237,POLITICIAN,Antigua Roma,12.48,41.89,coordenada Wikidata,ITA,ITA,Italy,Europa Occidental
16262365,Sabium,48296,POLITICIAN,,,,sin dato en Wikidata,,,,
8591068,Gargi Vachaknavi,48316,PHILOSOPHER,,,,sin dato en Wikidata,,,,
28407244,Alexander Svechin,48320,MILITARY PERSONNEL,Odesa,30.73262,46.47747,coordenada Wikidata,UKR,UKR,Ukraine,Europa del Este/Asia Central
4228076,Ardaric,48325,MILITARY PERSONNEL,,,,sin dato en Wikidata,,,,
488084,Domitianus II,48331,POLITICIAN,,,,sin dato en Wikidata,,,,
3144400,Sekhemre-Heruhirmaat Intef,48341,POLITICIAN,Antiguo Egipto,,,ciudadania (Wikidata),EGY,EGY,Egypt,Medio Oriente/N. Africa
1151531,Igor Simutenkov,48353,SOCCER PLAYER,Moscú,37.6175,55.75055555555556,coordenada Wikidata,RUS,RUS,Russia,Europa del Este/Asia Central
785277,Adolph Joffe,48422,POLITICIAN,Simferopol,34.10222222,44.95194444,coordenada Pantheon,UKR,UKR,Ukraine,Europa del Este/Asia Central
15812402,"Margaret, Countess of Anjou",48428,POLITICIAN,Francia,,,ciudadania (Wikidata),FRA,FRA,France,Europa Occidental
3280382,Cunipert,48447,POLITICIAN,,,,sin dato en Wikidata,,,,
20913810,Nizar Rayan,48449,POLITICIAN,Jabalia,34.48305556,31.52805556,coordenada Pantheon + alineado a Pantheon,ISR,PSE,Israel,Medio Oriente/N. Africa
44192149,Marc Soler,48479,CYCLIST,Villanueva y Geltrú,,,pais del lugar (Wikidata),ESP,ESP,Spain,Europa Occidental
74322882,Oleg Tsokov,48499,MILITARY PERSONNEL,Gazalkent,,,pais del lugar (Wikidata),UZB,UZB,Uzbekistan,Europa del Este/Asia Central
14689309,Viktor Kolotov,48552,SOCCER PLAYER,Yudino,,,pais del lugar (Wikidata),RUS,RUS,Russia,Europa del Este/Asia Central
1694367,Livia Orestilla,48603,COMPANION,,,,sin dato en Wikidata,,,,
692996,Ælfwynn,48633,POLITICIAN,,,,sin dato en Wikidata,,,,
5537314,Tacfarinas,48667,POLITICIAN,Tagaste,,,pais del lugar (Wikidata),DZA,DZA,Algeria,Medio Oriente/N. Africa
6257541,Aeropus I of Macedon,48678,POLITICIAN,,,,sin dato en Wikidata,,,,
