iso3,region,task,n,d_implicito,cohens_d,explicito_pref,explicito_termometro
NOR,Western Europe,Sexuality,3742.0,0.182,0.372,0.256,0.478
ESP,Western Europe,Sexuality,9730.0,0.184,0.395,0.38,0.256
CAN,"North America, Australia & New Zealand",Sexuality,41297.0,0.191,0.4,0.282,0.11
AUS,"North America, Australia & New Zealand",Sexuality,19688.0,0.21,0.432,0.237,0.028
GBR,Western Europe,Sexuality,41080.0,0.215,0.449,0.197,-0.003
KOR,East Asia,Sexuality,16244.0,0.217,0.494,0.668,0.16
CZE,Eastern Europe & Central Asia,Sexuality,1273.0,0.227,0.47,0.754,1.209
BEL,Western Europe,Sexuality,2725.0,0.253,0.563,0.612,0.73
ISR,Middle East & North Africa,Sexuality,3393.0,0.256,0.527,0.535,0.705
NLD,Western Europe,Sexuality,2985.0,0.261,0.552,0.357,0.633
COL,Latin America,Sexuality,1752.0,0.268,0.578,0.659,0.718
ITA,Western Europe,Sexuality,12054.0,0.273,0.572,0.511,0.914
RUS,Eastern Europe & Central Asia,Sexuality,5636.0,0.277,0.571,1.004,1.722
POL,Eastern Europe & Central Asia,Sexuality,9862.0,0.282,0.578,0.595,1.433
PRT,Western Europe,Sexuality,2327.0,0.284,0.611,0.803,1.853
HUN,Eastern Europe & Central Asia,Sexuality,6918.0,0.3,0.638,0.819,1.935
MEX,Latin America,Sexuality,2827.0,0.309,0.678,0.861,0.917
ZAF,Sub-Saharan Africa,Sexuality,669.0,0.312,0.631,0.612,0.802
IND,South Asia,Sexuality,2623.0,0.316,0.714,0.842,0.969
ROU,Eastern Europe & Central Asia,Sexuality,723.0,0.342,0.744,1.148,2.494
SRB,Eastern Europe & Central Asia,Sexuality,1149.0,0.415,0.892,1.129,2.194
ARG,Latin America,Sexuality,2000.0,0.451,1.032,1.092,1.314
NLD,Western Europe,Skin-tone,3152.0,0.272,0.646,0.426,0.447
SWE,Western Europe,Skin-tone,11087.0,0.296,0.705,0.359,0.49
DNK,Western Europe,Skin-tone,1178.0,0.313,0.776,0.322,0.395
NOR,Western Europe,Skin-tone,4230.0,0.34,0.827,0.362,0.561
BEL,Western Europe,Skin-tone,2600.0,0.344,0.851,0.529,0.662
BRA,Latin America,Skin-tone,12122.0,0.347,0.805,0.489,0.564
SRB,Eastern Europe & Central Asia,Skin-tone,471.0,0.352,0.932,0.517,0.708
CHE,Western Europe,Skin-tone,1597.0,0.354,0.852,0.356,0.431
KOR,East Asia,Skin-tone,3101.0,0.355,0.972,1.002,-1.05
GBR,Western Europe,Skin-tone,25838.0,0.368,0.876,0.21,0.208
POL,Eastern Europe & Central Asia,Skin-tone,3083.0,0.369,0.929,0.368,0.559
FRA,Western Europe,Skin-tone,12450.0,0.378,0.949,0.258,0.301
ZAF,Sub-Saharan Africa,Skin-tone,390.0,0.379,0.86,0.464,0.387
AUT,Western Europe,Skin-tone,1735.0,0.38,0.94,0.366,0.464
COL,Latin America,Skin-tone,1180.0,0.38,0.942,0.457,0.039
PRT,Western Europe,Skin-tone,2433.0,0.38,0.976,0.514,0.855
IRL,Western Europe,Skin-tone,691.0,0.382,0.929,0.417,0.587
MEX,Latin America,Skin-tone,2295.0,0.382,0.969,0.523,0.242
CAN,"North America, Australia & New Zealand",Skin-tone,30085.0,0.383,0.924,0.277,0.238
DEU,Western Europe,Skin-tone,19225.0,0.383,0.954,0.367,0.339
RUS,Eastern Europe & Central Asia,Skin-tone,1439.0,0.383,0.973,0.854,1.157
