country_code,country_name,region_code,region_name,reporting_level,year,welfare_type,mean,gini,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10
ROU,Romania,ECS,Europe & Central Asia,national,2010,consumption,11.739663323511,.281582377575,.035213180872,.051278050903,.062512836205,.073056054504,.083259296138,.094278581232,.107428660089,.124258796485,.149845945145,.218868598426
ROU,Romania,ECS,Europe & Central Asia,national,2010,income,13.084363762435,.354711051145,.019195877247,.038276364393,.052874501128,.065402237179,.07826520183,.092862798606,.110508247815,.131614939537,.160849645614,.250150186651
ROU,Romania,ECS,Europe & Central Asia,national,2011,consumption,11.496962485725,.272115198533,.036620559622,.052792577205,.063828603207,.073900779949,.084409587677,.095257067911,.107968614147,.123556364292,.147286183324,.214379662666
ROU,Romania,ECS,Europe & Central Asia,national,2011,income,12.265567039435,.358666936536,.01825136939,.037251564659,.051331914612,.065163544299,.078003877744,.092555900877,.111655530773,.134224557215,.162826454366,.248735286065
ROU,Romania,ECS,Europe & Central Asia,national,2012,consumption,11.721365815821,.27334237638,.036627041146,.052519318138,.06390129456,.073981757922,.083894717244,.094609997536,.107428544518,.12424335436,.148166400902,.214627573675
ROU,Romania,ECS,Europe & Central Asia,national,2012,income,12.347287695735,.365454718179,.016865576526,.036486997836,.050613583004,.064727157495,.078309372682,.092855565405,.110487846668,.132001580299,.163193643648,.254458676438
ROU,Romania,ECS,Europe & Central Asia,national,2013,consumption,11.797302856412,.274506993151,.036410307942,.052434177191,.063466921595,.073642250309,.08422185064,.095191664759,.107496323719,.123530602404,.147533950485,.216071950956
ROU,Romania,ECS,Europe & Central Asia,national,2013,income,12.432396083979,.369151200804,.016282860316,.033350786436,.049427155355,.064966971556,.079483815508,.094087203443,.112734864846,.133650797481,.161902557383,.254112987677
ROU,Romania,ECS,Europe & Central Asia,national,2014,income,12.898336367578,.360091066522,.015097310646,.033745467636,.051218421996,.067515786298,.081284239162,.096496621559,.113431489801,.133891380705,.162468688816,.24485059338
ROU,Romania,ECS,Europe & Central Asia,national,2015,income,13.915578794765,.359136322302,.016448808393,.03435234425,.051714070708,.066278560267,.080673691303,.096404527026,.113400456488,.133246920926,.159848641473,.247631979166
ROU,Romania,ECS,Europe & Central Asia,national,2016,consumption,13.52692033521,.283457048276,.034817553923,.050491771401,.062514402286,.073298527172,.083662982329,.094869764457,.107726499477,.123213565636,.147552393865,.221852539455
ROU,Romania,ECS,Europe & Central Asia,national,2016,income,15.848856790127,.344066671999,.017993952586,.0377399726,.053514815561,.067530832774,.081729671636,.096853551914,.11484942388,.133373108608,.159392431473,.237022238968
ROU,Romania,ECS,Europe & Central Asia,national,2017,income,19.856551250236,.360126248383,.015869999931,.036837595373,.051644667919,.065059360137,.07877470767,.09498097307,.113435287735,.133370525752,.161391906867,.248634975547
ROU,Romania,ECS,Europe & Central Asia,national,2018,consumption,16.175394823638,.287828663077,.034083489687,.050793292519,.062057570845,.072741274195,.08312796098,.093926397813,.106661378307,.123019518561,.147796708919,.225792408173
ROU,Romania,ECS,Europe & Central Asia,national,2018,income,22.354124652768,.357584115363,.016486526099,.037666119702,.052964592109,.065693136901,.07930137674,.094078575297,.110014616354,.132067139312,.162553385968,.249174531517
ROU,Romania,ECS,Europe & Central Asia,national,2019,consumption,17.140461831596,.275824388472,.035936042587,.051513140184,.063440101274,.073971845143,.084094598524,.094921890899,.107852063238,.124197395054,.149004894729,.215068028367
ROU,Romania,ECS,Europe & Central Asia,national,2019,income,24.207264602219,.348005397913,.01738328905,.039155497968,.053317275863,.067366714978,.081317183014,.096138459636,.110758989152,.130753419671,.159156638849,.24465253182
ROU,Romania,ECS,Europe & Central Asia,national,2020,consumption,16.636047799388,.275394315327,.035560531529,.052017214957,.063376370255,.073837176711,.084170905996,.095458065244,.108500524519,.124141280351,.147792613771,.215145316668
ROU,Romania,ECS,Europe & Central Asia,national,2020,income,27.1389351314,.345702062837,.016953447198,.038580997478,.05394522388,.068797802251,.082195647181,.096089162923,.112416212744,.130923104583,.157744163563,.242354238199
