wd_id,nombre,iso_master,status,lang,via,ciudad,city_qid,pais_ciudad,lat,lon
Q909338,István Tamássy,HUN,solo_pais,en,link,Hungary,Q28,HUN,47,19
Q1984294,Sjef van Run,NLD,OK_ciudad,pt,link,Bolduque,Q2766547,NLD,51.7,5.3167
Q7598953,Stanislau Konrad,POL,solo_pais,en,link,Poland,Q36,POL,52,19
Q371128,Joseph Bossi,CHE,solo_pais,en,text,Switzerland,Q39,CHE,46.7986,8.232
Q2635143,Albert Büche,CHE,OK_ciudad,fr,link,Basilea,Q78,CHE,47.5606,7.5906
Q2635476,Otto Bühler,CHE,solo_pais,ru,link,Швейцария,Q39,CHE,46.7986,8.232
Q2635301,Ernst Frick,CHE,solo_pais,fa,link,سوئیس,Q39,CHE,46.7986,8.232
Q2635291,Louis Gobet,CHE,solo_pais,fa,link,سوئیس,Q39,CHE,46.7986,8.232
Q2635272,Erwin Hochsträsser,,sin_birthplace_en_wiki,,,,,,,
Q977369,Julius Hjulian,SWE,solo_pais,es,link,Suecia,Q34,,61,15
Q2634326,Joe Martinelli,USA,solo_pais,en,link,United States,Q30,USA,39.8282,-98.5795
Q2058542,Joaquín Arias,CUB,solo_pais,en,link,Cuba,Q241,CUB,22,-79.5
Q2058551,Pedro Bergés,CUB,solo_pais,en,link,Cuba,Q241,CUB,22,-79.5
Q2058183,Manuel Chorens,CUB,solo_pais,en,link,Cuba,Q241,CUB,22,-79.5
Q2058569,Tomás Fernández,ESP,solo_pais,en,link,Spain,Q29,ESP,40.2,-3.5
Q2058589,Pedro Ferrer,CUB,solo_pais,en,text,Cuba,Q241,CUB,22,-79.5
Q604042,Carlos Oliveira,CUB,solo_pais,en,link,Cuba,Q241,CUB,22,-79.5
Q2055239,Karel Černý,,sin_birthplace_en_wiki,,,,,,,
Q748183,Josef Orth,CSK,sin_birthplace_en_wiki,,,,,,,
Q2004628,Ladislav Šimůnek,CZE,solo_pais,fr,link,République tchèque,Q213,CZE,50,15
Q2484030,Sutan Anwar,NLD,OK_ciudad,en,link,Padang,Q7253,IDN,-0.9556,100.3606
Q3037265,Dorst,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q2395036,Isaak Pattiwael,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q2482236,Suvarte Soedarmadji,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q3127011,Hans Taihuttu,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q302868,Mo Heng Tan,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q2058968,See Han Tan,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q631007,Teilherber,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q3414972,Rudi Telwe,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q2244193,Hong Djien The,NLD,OK_ciudad,en,link,Surabaya,Q11462,IDN,-7.2463,112.7378
Q2244204,Leen van Beuzekom,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q648005,Van Den Burgh,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q508208,Hendrikus Zomers,NLD,solo_pais,en,link,Dutch East Indies,Q188161,,-5,120
Q840912,Mihály Bíró,,OK_ciudad,es,link,Budapest,Q1781,HUN,47.4983,19.0408
Q3138770,Hjalmar Andresen,NOR,solo_pais,fa,link,نروژ,Q20,NOR,59.9333,10.6833
Q635914,Sverre Berglie,,sin_birthplace_en_wiki,,,,,,,
Q2343205,Øivind Holmsen,NOR,OK_ciudad,pt,link,Oslo,Q585,NOR,59.9133,10.7389
Q748321,Henry Johansen,NOR,OK_ciudad,pt,link,Oslo,Q585,NOR,59.9133,10.7389
Q2464884,Miklós Nagy,ROU,solo_pais,en,link,Romania,Q218,ROU,46,25
Q372136,Gyula Prassler,ROU,OK_ciudad,en,link,Ocna Mureș,Q837152,ROU,46.39,23.86
Q2464692,Oscar Rauch,CHE,OK_ciudad,de,link,Winterthur,Q9125,CHE,47.4992,8.7267
Q778150,Eugen Rupf,CHE,solo_pais,fa,link,سوئیس,Q39,CHE,46.7986,8.232
Q2462225,Adolf Stelzer,CHE,solo_pais,fa,link,سوئیس,Q39,CHE,46.7986,8.232
Q2464677,Fritz Wagner,CHE,solo_pais,fa,link,سوئیس,Q39,CHE,46.7986,8.232
Q1184863,Víctor Celestino Algarañaz,BOL,solo_pais,en,link,Bolivia,Q750,BOL,-17.0569,-64.9912
Q2058467,Duberty Aráoz,BOL,solo_pais,en,link,Bolivia,Q750,BOL,-17.0569,-64.9912
Q2482354,Víctor Brown,BOL,OK_ciudad,en,link,Tarija,Q35004,BOL,-21.5339,-64.7342
Q2482206,José Bustamante,BOL,OK_ciudad,en,link,Padilla,Q1584051,BOL,-19.3075,-64.3022
Q2482183,René Cabrera,,solo_pais,fr,link,Bolivie,Q750,BOL,-17.0569,-64.9912
Q2481873,Roberto Capparelli,BOL,solo_pais,en,link,Argentina,Q414,ARG,-34,-64
Q2059383,Benigno Gutiérrez,BOL,OK_ciudad,en,link,La Paz,Q1491,BOL,-16.4958,-68.1333
Q2059304,Eduardo Gutiérrez,BOL,OK_ciudad,en,link,Cochabamba,Q183124,BOL,-17.3935,-66.157
Q2481832,Benjamin Maldonado,BOL,OK_ciudad,en,link,Cochabamba,Q183124,BOL,-17.3935,-66.157
Q2482363,Humberto Saavedra,BOL,solo_pais,en,link,Bolivia,Q750,BOL,-17.0569,-64.9912
Q2482167,Eulogio Sandoval,BOL,solo_pais,en,link,Bolivia,Q750,BOL,-17.0569,-64.9912
Q2635219,Manuel Álvarez Jiménez,CHL,solo_pais,es,link,Chile,Q298,CHL,-33,-71
Q25399910,Carlos Ibáñez,,sin_birthplace_en_wiki,,,,,,,
Q8338229,Carlos Rojas,,sin_birthplace_en_wiki,,,,,,,
Q3069542,Fernando Roldán,CHL,solo_pais,es,link,Chile,Q298,CHL,-33,-71
Q114578013,Francisco Urroz,,sin_birthplace_en_wiki,,,,,,,
Q601967,Antonio Flores,MEX,OK_ciudad,en,link,Guadalajara,Q9022,MEX,20.6764,-103.3422
Q1891533,Manuel Gutiérrez,MEX,solo_pais,en,text,Mexico,Q96,MEX,23,-102
Q3229727,Leonardo Navarro,MEX,solo_pais,en,link,Mexico,Q96,MEX,23,-102
Q509602,Mario Ochoa,MEX,solo_pais,en,link,Mexico,Q96,MEX,23,-102
Q1642839,Héctor Ortiz,MEX,solo_pais,en,link,Mexico,Q96,MEX,23,-102
Q1348776,Mario Pérez,MEX,solo_pais,en,link,Mexico,Q96,MEX,23,-102
Q505635,Carlos Septién,MEX,solo_pais,es,link,México,Q96,MEX,23,-102
Q2058398,Enrique Avalos,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2244008,Marcial Avalos,PRY,OK_ciudad,pt,link,Asunción,Q2933,,-25.28,-57.6344
Q2058543,Melanio Baez,PRY,OK_ciudad,en,link,Santísima Trinidad,Q9074492,,-25.2574,-57.5795
Q2058950,Antonio Cabrera,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q658824,Lorenzo Calonga,PRY,OK_ciudad,pt,link,Arauca,Q230223,COL,6.6167,-70.9833
Q2481567,Juan Cañete,PRY,solo_pais,en,text,Paraguay,Q733,,-23.5,-58
Q2244051,Pablo Centurión,,solo_pais,es,link,Paraguay,Q733,,-23.5,-58
Q2058807,Casiano Céspedes,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2058372,Manuel Gavilán,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2244129,Alberto González,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q568035,Elioro Paredes,PRY,solo_pais,en,link,Paraguay,Q733,,-23.5,-58
Q2058986,Francisco Sosa,PRY,solo_pais,es,link,Paraguay,Q733,,-23.5,-58
Q2002021,René Bader,CHE,OK_ciudad,es,link,Basilea,Q78,CHE,47.5606,7.5906
Q2053304,Walter Beerli,CHE,solo_pais,en,link,Switzerland,Q39,CHE,46.7986,8.232
Q2055718,Kurt Rey,CHE,solo_pais,en,link,Switzerland,Q39,CHE,46.7986,8.232
Q2055742,Walter Schneiter,CHE,solo_pais,en,link,Switzerland,Q39,CHE,46.7986,8.232
Q607304,Hans Siegenthaler,CHE,solo_pais,en,text,Switzerland,Q39,CHE,46.7986,8.232
Q977165,William Martínez,URY,OK_ciudad,es,link,Montevideo,Q1335,URY,-34.9059,-56.1913
Q29763,Carlos Romero,URY,solo_pais,en,link,Uruguay,Q77,URY,-33,-56
Q2003180,Walter Kollmann,AUT,solo_pais,es,link,Primera República de Austria,Q518101,AUT,48.2,16.3667
Q4017934,Walter Haummer,AUT,solo_pais,es,link,Primera República de Austria,Q518101,AUT,48.2,16.3667
Q43333,Léopold Gernaey,BEL,OK_ciudad,en,link,Gistel,Q815948,BEL,51.1561,2.9672
Q126911262,Dequinha,,sin_birthplace_en_wiki,,,,,,,
Q3808511,Jiří Trnka,CSK,solo_pais,en,link,Czechoslovakia,Q33946,CSK,50.0833,14.4167
Q3496807,Michal Benedikovič,,OK_ciudad,it,text,Trnava,Q26175,SVK,48.3777,17.5862
Q2004638,Jan Hertl,,sin_birthplace_en_wiki,,,,,,,
Q4023958,Zdeněk Procházka,CSK,solo_pais,en,link,Czechoslovakia,Q33946,CSK,50.0833,14.4167
Q3496490,Jaroslav Košnar,CSK,solo_pais,en,link,Czechoslovakia,Q33946,CSK,50.0833,14.4167
Q1178891,Ken Armstrong,GBR,ciudad_sin_resolver,pt,link,Bradford,Q229737,,,
Q1112761,Maino Neri,ITA,OK_ciudad,pt,link,Módena,Q279,ITA,44.6458,10.9257
Q2546696,Amleto Frignani,ITA,OK_ciudad,es,link,Q100041,Q100041,ITA,44.7833,10.885
Q2126908,Rafael Ávalos,MEX,solo_pais,en,link,Mexico,Q96,MEX,23,-102
Q3930819,Raúl Arellano,,sin_birthplace_en_wiki,,,,,,,
Q1753362,Kyu-chung Park,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q487301,Jae-seung Park,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q3812751,Chang-gi Kang,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q16069848,Sang-yi Lee,,sin_birthplace_en_wiki,,,,,,,
Q2059305,Byung-dae Min,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q4020780,Sang-kwon Woo,,OK_ciudad,es,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q3977018,Nak-woon Sung,,OK_ciudad,es,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q16067913,Ji-sung Kim,,sin_birthplace_en_wiki,,,,,,,
Q2156546,Il-kap Park,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q2059290,Yung-keun Choi,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q1711663,Ki-joo Li,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q488900,Kook-chin Chung,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q504414,Marcel Flückiger,CHE,solo_pais,en,link,Switzerland,Q39,CHE,46.7986,8.232
Q4006401,Urbano Rivera,URY,solo_pais,en,link,Uruguay,Q77,URY,-33,-56
Q974701,Alfredo Pérez,ARG,solo_pais,es,link,Argentina,Q414,ARG,-34,-64
Q1362455,Alan Hodgkinson,GBR,OK_ciudad,es,link,Sheffield,Q42448,GBR,53.3808,-1.4703
Q888686,Bobby Smith,GBR,ciudad_sin_resolver,pt,link,Lingdale,,,,
Q354222,Francisco Flores,,sin_birthplace_en_wiki,,,,,,,
Q4910880,Billy Simpson,,sin_birthplace_en_wiki,,,,,,,
Q1689389,Jimmy McIlroy,GBR,OK_ciudad,en,link,Lambeg,Q130397135,GBR,54.5264,-6.0382
Q952522,Norman Uprichard,GBR,OK_ciudad,en,link,Lurgan,Q1702713,GBR,54.4647,-6.3322
Q3992903,Tommy Hamill,GBR,solo_pais,en,text,Northern Ireland,Q26,GBR,54.6075,-6.6925
Q3718981,Edelmiro Arévalo,PRY,solo_pais,en,text,Paraguay,Q733,,-23.5,-58
Q3945902,Salvador Villalba,PRY,solo_pais,en,text,Paraguay,Q733,,-23.5,-58
Q280921,Samuel Aguilar,PRY,OK_ciudad,pt,link,Asunción,Q2933,,-25.28,-57.6344
Q3840417,Luis Santos Silva,PRY,solo_pais,en,text,Paraguay,Q733,,-23.5,-58
Q3680102,Claudio Lezcano,PRY,solo_pais,en,text,Paraguay,Q733,,-23.5,-58
Q3606945,Agustín Miranda,PRY,solo_pais,en,text,Paraguay,Q733,,-23.5,-58
Q3809171,John Coyle,GBR,OK_ciudad,de,link,Dundee,Q123709,GBR,56.4606,-2.97
Q1126776,Ken Jones,,sin_birthplace_en_wiki,,,,,,,
Q725556,Roy Vernon,GBR,ciudad_sin_resolver,pt,link,Ffynnongroew,,,,
Q515705,Wolfgang Peters,DEU,solo_pais,en,link,Germany,Q183,DEU,51,10
Q1890271,Alberto Mariotti,ARG,solo_pais,es,link,Argentina,Q414,ARG,-34,-64
Q538148,Petar Velichkov,BGR,OK_ciudad,en,link,Sofía,Q472,BGR,42.6979,23.3217
Q3893431,Panteley Dimitrov,BGR,solo_pais,en,text,Bulgaria,Q219,BGR,42.75,25.5
Q3295237,Armando Tobar,CHL,OK_ciudad,es,link,Viña del Mar,Q184345,CHL,-33.0245,-71.5518
Q3806175,Jaime González,COL,solo_pais,es,link,Colombia,Q739,COL,4,-73.25
Q662268,Héctor Echeverry,COL,solo_pais,en,link,Colombia,Q739,COL,4,-73.25
Q3735004,Eusebio Escobar,COL,OK_ciudad,es,link,Cali,Q51103,COL,3.44,-76.5197
Q3806204,Jairo Arias,COL,solo_pais,en,text,Colombia,Q739,COL,4,-73.25
Q529479,Jozef Adamec,SVK,OK_ciudad,es,link,Vrbové,Q846444,SVK,48.6208,17.7225
Q2054952,Vladimír Kos,CSK,solo_pais,es,link,Checoslovaquia,Q33946,CSK,50.0833,14.4167
Q116816,Andrej Kvašňák,SVK,OK_ciudad,pt,link,Q25409,Q25409,SVK,48.7167,21.25
Q2066760,Pedro Romero,MEX,solo_pais,en,text,Mexico,Q96,MEX,23,-102
Q2215586,Salvador Farfán,MEX,solo_pais,es,link,México,Q96,MEX,23,-102
Q864136,Aleksei Mamykin,RUS,OK_ciudad,es,link,Óblast de Riazán,Q2753,RUS,54.4,40.6
Q136646028,Philippe Pottier,,sin_birthplace_en_wiki,,,,,,,
Q2464704,Rolf Wüthrich,CHE,OK_ciudad,es,link,Zúrich,Q72,CHE,47.3744,8.5411
Q3848882,Mario Méndez,URY,solo_pais,fr,link,Uruguay,Q77,URY,-33,-56
Q2056408,Pedro Cubilla,URY,OK_ciudad,es,link,Paysandú,Q309442,URY,-32.3218,-58.0892
Q2002012,Domingo Pérez,URY,OK_ciudad,pt,link,Paysandú,Q309442,URY,-32.3218,-58.0892
Q555204,Luis Cubilla,URY,OK_ciudad,es,link,Paysandú,Q309442,URY,-32.3218,-58.0892
Q1298658,Luis Maidana,URY,OK_ciudad,es,link,Piriápolis,Q1006155,URY,-34.8661,-55.2747
Q556422,Rubén Soria,URY,solo_pais,en,text,Uruguay,Q77,URY,-33,-56
Q980738,Nelson López,ARG,OK_ciudad,es,link,Bell Ville,Q284308,ARG,-32.6333,-62.6833
Q1489510,Gabriel Núñez,MEX,OK_ciudad,es,link,Taxco de Alarcón,Q990095,MEX,18.5546,-99.6059
Q1127293,Guillermo Hernández,,sin_birthplace_en_wiki,,,,,,,
Q1185429,Chang-myung Lee,PRK,solo_pais,en,text,North Korea,Q423,PRK,40,127
Q941465,Li-sup Pak,PRK,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q1185960,Yung-kyoo Shin,PRK,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q972847,Bong-chil Kang,,sin_birthplace_en_wiki,,,,,,,
Q1138491,Seung-hwi Im,PRK,solo_pais,en,text,North Korea,Q423,PRK,40,127
Q3829372,Keun-hak Lee,,solo_pais,en,link,North Korea,Q423,PRK,40,127
Q550223,Ryong-woon Kang,PRK,solo_pais,en,link,Korea,Q18097,,38.3167,127.2333
Q1338274,Yoon-kyung Oh,PRK,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q1741464,Bong-hwan Kim,,OK_ciudad,en,link,ocupación japonesa de Corea,Q503585,,37.5775,126.9769
Q4020238,Willy Allemann,CHE,solo_pais,en,link,Switzerland,Q39,CHE,46.7986,8.232
Q1985135,Václav Migas,CSK,solo_pais,fr,link,Tchécoslovaquie,Q33946,CSK,50.0833,14.4167
Q2012712,Milan Albrecht,CSK,OK_ciudad,pt,link,Trenčín,Q145002,SVK,48.8942,18.0406
Q3950851,Saturnino Osorio,SLV,OK_ciudad,es,link,San Miguel,Q672458,SLV,13.4804,-88.1772
Q115585629,José Quintanilla,,sin_birthplace_en_wiki,,,,,,,
Q3778106,Gualberto Fernández,SLV,OK_ciudad,es,link,Tegucigalpa,Q3238,HND,14.1058,-87.2047
Q2753341,Elmer Acevedo,SLV,OK_ciudad,es,link,Quezaltepeque,Q1154058,SLV,13.8337,-89.2709
Q2477460,Yitzchak Vissoker,ISR,sin_birthplace_en_wiki,,,,,,,
Q2704945,Yehoshua Feigenbaum,AUT,OK_ciudad,es,link,Jaffa,Q180294,,32.0522,34.7531
Q2735952,Yisha'ayahu Schwager,POL,solo_pais,en,link,Poland,Q36,POL,52,19
Q2244320,Yechezekel Chazom,IRQ,solo_pais,en,text,Iraq,Q796,IRQ,33,43
Q3722886,Eli Ben Rimoz,ISR,solo_pais,en,text,France,Q142,FRA,47,2
Q2479229,Yair Nossovsky,ISR,solo_pais,fa,link,اسرائیل,Q801,ISR,31,35
Q1472692,Abdallah Lamrani,MAR,solo_pais,es,link,Marruecos,Q1028,MAR,32,-6
Q2921655,Boujemaa Benkhrif,MAR,solo_pais,es,link,Marruecos,Q1028,MAR,32,-6
Q2056501,Mohammed Hazzaz,MAR,OK_ciudad,es,link,Fez,Q80985,MAR,34.0433,-5.0033
Q2288941,Ahmed Alaoui,MAR,solo_pais,en,link,Morocco,Q1028,MAR,32,-6
Q1604470,Abdelkader El Khiati,MAR,solo_pais,en,text,Morocco,Q1028,MAR,32,-6
Q1376228,Kurt Axelsson,SWE,ciudad_sin_resolver,en,link,Rännberg,,,,
Q946758,Sven-Gunnar Larsson,SWE,solo_pais,en,text,Sweden,Q34,,61,15
Q722869,Leif Målberg,,solo_pais,en,link,Sweden,Q34,,61,15
Q1370501,Ronney Pettersson,,solo_pais,en,text,Sweden,Q34,,61,15
Q927023,Sten Pålsson,,solo_pais,en,link,Sweden,Q34,,61,15
Q962204,Rodolfo Sandoval,URY,solo_pais,en,text,Uruguay,Q77,URY,-33,-56
Q743173,Francisco Cámera,URY,solo_pais,en,link,Uruguay,Q77,URY,-33,-56
Q3608362,Alberto Gómez,URY,solo_pais,en,text,Uruguay,Q77,URY,-33,-56
Q1194117,Julio Losada,URY,solo_pais,en,link,Uruguay,Q77,URY,-33,-56
Q2479084,Jimmy Mackay,GBR,OK_ciudad,en,link,Edimburgo,Q23436,GBR,55.9533,-3.1892
Q2055002,Garry Manuel,AUS,sin_birthplace_en_wiki,,,,,,,
Q2484292,Peter Ollerton,GBR,OK_ciudad,en,text,Preston,Q184090,GBR,53.7594,-2.6981
Q2638342,Allan Maher,AUS,sin_birthplace_en_wiki,,,,,,,
Q2635798,Rafael González,CHL,OK_ciudad,es,link,Santiago de Chile,Q2887,CHL,-33.4375,-70.65
Q742268,Wilfried Louis,HTI,solo_pais,en,link,Haiti,Q790,HTI,19,-72.8
Q3710160,Fritz André,HTI,OK_ciudad,es,link,Puerto Príncipe,Q34261,HTI,18.5469,-72.3403
Q3710463,Serge Ducosté,HTI,OK_ciudad,es,link,Puerto Príncipe,Q34261,HTI,18.5469,-72.3403
Q1987233,Pierre Bayonne,HTI,OK_ciudad,es,link,Puerto Príncipe,Q34261,HTI,18.5469,-72.3403
Q2597660,Jean-Claude Désir,HTI,OK_ciudad,es,link,Puerto Príncipe,Q34261,HTI,18.5469,-72.3403
Q2018209,Guy François,HTI,OK_ciudad,es,link,Puerto Príncipe,Q34261,HTI,18.5469,-72.3403
Q3710181,Serge Racine,HTI,solo_pais,en,link,Haiti,Q790,HTI,19,-72.8
Q3710476,Fritz Leandré,HTI,solo_pais,en,text,Haiti,Q790,HTI,19,-72.8
Q3710204,Joseph-Marion Leandré,HTI,solo_pais,en,link,Haiti,Q790,HTI,19,-72.8
Q2018254,Wilner Piquant,HTI,solo_pais,en,link,Haiti,Q790,HTI,19,-72.8
Q3710192,Gérard Joseph,HTI,solo_pais,en,link,Haiti,Q790,HTI,19,-72.8
Q353506,Joe Jordan,GBR,OK_ciudad,es,link,Cleland,Q3439048,GBR,55.8023,-3.9143
Q1380274,Thomas Ahlström,SWE,solo_pais,en,link,Sweden,Q34,,61,15
Q3942200,Rubén Corbo,URY,solo_pais,es,link,Uruguay,Q77,URY,-33,-56
Q602241,Mario González,URY,OK_ciudad,pt,link,Montevideo,Q1335,URY,-34.9059,-56.1913
Q3608200,Alberto Cardaccio,URY,solo_pais,en,link,Uruguay,Q77,URY,-33,-56
Q3812722,Martin Kamunda Tshinabu,,OK_ciudad,es,link,Congo Belga,Q213510,,-4.3067,15.2803
Q3844110,Mana Mamuwene,,OK_ciudad,es,link,Congo Belga,Q213510,,-4.3067,15.2803
Q3844901,Kidumu Mantantu,,OK_ciudad,es,link,Mbanza-Ngungu,Q857577,COD,-5.25,14.8667
Q3856001,Mwape Mialo,,OK_ciudad,es,link,Congo Belga,Q213510,,-4.3067,15.2803
Q3812443,Kafula Ngoie,,OK_ciudad,es,link,Congo Belga,Q213510,,-4.3067,15.2803
Q3720824,Mbungu Ekofa,,OK_ciudad,es,link,Congo Belga,Q213510,,-4.3067,15.2803
Q1114691,István Kocsis,,sin_birthplace_en_wiki,,,,,,,
Q2053316,Ali Reza Ghesghayan,IRN,OK_ciudad,en,link,Shiraz,Q6397066,IRN,29.61,52.5425
